GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},16,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,Yylex,6730,0,102,0,218,0,99,0,21,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},12,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},19,0,4,0,4,0,4,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},19,0,4,0,4,0,4,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},14,0,0,0,3,0,2,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,JSONWriter,464,0,31,0,91,0,35,0,18,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Decoder() {...},14,0,2,0,4,0,3,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},10,0,0,0,3,0,2,0,2,0
dubbo-all/dubbo-common,org.apache.dubbo.common.json,GenericJSONConverter.new GenericJSONConverter.Encoder() {...},9,0,0,0,3,0,2,0,2,0
