GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,DubboCountCodec,93,0,12,0,32,0,10,0,4,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,DubboInvoker,315,0,24,0,60,0,17,0,5,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.filter,FutureFilter,497,0,70,0,110,0,46,0,11,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.filter,TraceFilter,280,0,32,0,56,0,21,0,5,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,ListTelnetHandler,353,0,54,0,76,0,38,0,11,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,CurrentTelnetHandler,43,0,6,0,9,0,5,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,SelectTelnetHandler,72,0,12,0,14,0,8,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,CountTelnetHandler.new Runnable() {...},79,0,4,0,16,0,4,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,LogTelnetHandler,191,0,14,0,35,0,9,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,TraceTelnetHandler,207,0,44,0,37,0,24,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,ShutdownTelnetHandler,85,0,10,0,22,0,7,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,PortTelnetHandler,194,0,30,0,39,0,17,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,CountTelnetHandler,433,0,52,0,77,0,29,0,3,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,InvokeTelnetHandler,560,0,86,0,129,0,51,0,8,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet,ChangeTelnetHandler,116,0,18,0,22,0,11,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.status,ThreadPoolStatusChecker,125,0,12,0,25,0,8,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.status,ServerStatusChecker,80,0,10,0,20,0,7,0,2,0
dubbo-demo-xml-provider/dubbo-remoting-netty4,org.apache.dubbo.remoting.transport.netty4,NettyClient.new ChannelInitializer() {...},81,0,2,0,14,0,3,0,2,0
dubbo-demo-xml-provider/dubbo-remoting-netty4,org.apache.dubbo.remoting.transport.netty4,NettyCodecAdapter.InternalDecoder,60,0,8,0,15,0,6,0,2,0
dubbo-demo-xml-provider/dubbo-remoting-netty4,org.apache.dubbo.remoting.transport.netty4,NettyTransporter,15,0,0,0,3,0,3,0,3,0
dubbo-demo-xml-provider/dubbo-remoting-netty4,org.apache.dubbo.remoting.transport.netty4,NettyChannel,339,0,44,0,88,0,38,0,16,0
dubbo-demo-xml-provider/dubbo-remoting-netty4,org.apache.dubbo.remoting.transport.netty4,NettyCodecAdapter.InternalEncoder,33,0,0,0,7,0,2,0,2,0
